Item,Food Basics,FreshCo,Giant Tiger,Loblaws,Metro,No Frills,Sobeys,Superstore
"2% Milk, 4L",—,$6.44,$6.88,$6.44,$8.16,$6.44,$6.49,$6.44
"Butter, Salted, 454g",$4.98,$5.99,$4.88,$5.99,$6.49,$4.99,$6.19,$5.99
"Cheddar Cheese, Medium, 400g",$4.99,$5.99,$4.87,$6.00,$4.44,$5.99,$6.99,$5.97
"Cream Cheese, 250g",$3.19,$2.99,$2.97,$3.99,$2.99,$3.00,$3.99,$3.00
"Chicken Breast, Boneless Skinless, per kg",$10.98,$13.50,$11.03,$18.80,$19.82,$13.87,$21.58,$18.72
"Ground Beef, Lean, per kg",$20.92,$10.00,$10.87,$22.00,$21.58,$18.72,$19.82,$18.72
"Chicken Thighs, Bone-In, per kg",$9.90,$7.50,$11.59,$11.90,$13.87,$7.47,$13.49,$10.34
"White Bread, 675g",$2.48,$2.48,$1.97,$3.99,$2.69,$3.00,$2.49,$3.25
"Whole Wheat Bread, 675g",$2.48,$2.48,$1.97,$2.45,$4.00,$2.48,$2.49,$2.45
"Hamburger Buns, 8-pack",$7.99,$3.49,$2.50,$3.29,$6.29,$2.29,$2.67,$2.39
"Bananas, per kg",$1.52,$1.52,$1.89,$1.96,$2.18,$1.52,$1.52,$1.52
"Apples, ~2kg Bag",$4.99,$4.99,$5.97,$8.00,$2.99,$7.99,$6.99,$8.00
"Strawberries, 454g",$4.99,$5.99,$3.84,$5.00,$5.99,$4.99,$4.97,$5.00
"Oranges, per kg",$4.40,$3.06,$3.30,$3.31,$2.80,$3.70,$4.39,$3.90
"Potatoes, 10lb Bag",$5.98,$6.99,$4.44,$2.00,$6.99,$4.99,$5.99,$5.00
"Onions, 3lb Bag",$2.99,$1.79,$1.95,$4.00,$1.99,$2.99,$2.77,$3.00
"Carrots, 2lb Bag",$3.49,$2.84,$2.44,$3.00,$1.99,$2.99,$2.77,$3.00
"Broccoli, per Head or Crown",$2.50,$6.35,$3.47,$2.50,$2.99,$1.99,$8.80,$2.50
"Tomatoes, per kg",$5.49,$6.55,$4.23,$2.20,$7.69,$2.18,$4.39,$4.41
"Romaine Lettuce, per Head",$2.99,$2.77,$3.97,$3.00,$1.99,$2.49,$1.99,$2.00
